 

stn;time;pva200s0;tre200s0;rre150z0;ure200s0;tde200s0;fkl010z0
MMGTT;202112030430;4.2;-4.6;0.0;95.6;-5.2;0.0
MMGTT;202112030440;4.2;-4.6;0.2;95.6;-5.2;0.5
MMGTT;202112030450;4.1;-4.7;0.0;95.6;-5.3;0.5
MMGTT;202112030500;4.1;-4.8;0.0;95.6;-5.4;0.0
MMGTT;202112030510;4.1;-5.0;0.0;96.3;-5.5;0.0
MMGTT;202112030520;4.0;-5.2;0.0;95.5;-5.8;0.0
MMGTT;202112030530;3.9;-5.4;0.0;94.8;-6.1;0.0
MMGTT;202112030540;3.8;-5.7;0.0;95.5;-6.3;0.0
MMGTT;202112030550;3.8;-5.8;0.0;95.5;-6.4;0.0
MMGTT;202112030600;3.7;-5.9;0.0;94.8;-6.6;0.0
MMGTT;202112030610;3.7;-6.1;0.0;96.2;-6.6;0.0
MMGTT;202112030620;3.7;-6.1;0.0;96.2;-6.6;0.0
MMGTT;202112030630;3.7;-6.1;0.0;96.2;-6.6;0.0
MMGTT;202112030640;3.7;-6.1;0.0;96.2;-6.6;0.0
MMGTT;202112030650;3.7;-6.1;0.0;96.2;-6.6;0.0
MMGTT;202112030700;3.7;-6.1;0.0;96.2;-6.6;0.0
MMGTT;202112030710;3.8;-6.0;0.0;96.2;-6.5;0.0
MMGTT;202112030720;3.8;-6.0;0.2;96.2;-6.5;0.0
MMGTT;202112030730;3.8;-5.9;0.0;95.5;-6.5;0.0
MMGTT;202112030740;3.8;-5.8;0.0;95.5;-6.4;0.0
MMGTT;202112030750;3.8;-5.7;0.0;95.5;-6.3;0.0
MMGTT;202112030800;3.9;-5.6;0.0;96.3;-6.1;0.0
MMGTT;202112030810;3.9;-5.5;0.0;96.3;-6.0;0.0
MMGTT;202112030820;3.9;-5.3;0.0;95.5;-5.9;0.0
MMGTT;202112030830;4.0;-5.3;0.2;96.3;-5.8;0.0
MMGTT;202112030840;4.0;-5.2;0.0;96.3;-5.7;0.0
MMGTT;202112030850;4.0;-5.1;0.0;96.3;-5.6;0.0
MMGTT;202112030900;4.0;-5.1;0.0;96.3;-5.6;0.0
MMGTT;202112030910;4.0;-5.2;0.0;96.3;-5.7;0.0
MMGTT;202112030920;3.9;-5.3;0.0;95.5;-5.9;0.5
MMGTT;202112030930;3.9;-5.4;0.0;95.5;-6.0;0.5
MMGTT;202112030940;3.8;-5.7;0.0;94.8;-6.4;0.5
