,When,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
242,2020-12-08 18:00:00,4.728228,39.74021,67.603,2.326135,104.7,-2.819746,282.9393
243,2020-12-08 18:30:00,4.12354,43.51699,67.6344,2.877138,104.7,-2.612568,285.363
244,2020-12-08 19:00:00,3.675724,46.8216,67.66135,2.848441,104.7,-2.516621,283.5199
245,2020-12-08 19:30:00,3.189421,50.54792,67.67871,3.250484,104.7,-2.642945,277.9444
246,2020-12-08 20:00:00,2.926579,53.29794,67.69643,3.365131,104.6,-2.247573,282.9199
247,2020-12-08 20:30:00,2.570879,56.50537,67.7125,3.417775,104.7,-3.138748,264.0361
248,2020-12-08 21:00:00,2.106452,60.85205,67.72453,2.94132,104.7,-3.132453,260.8466
249,2020-12-08 21:30:00,1.953733,62.84757,67.73461,4.352324,104.6,-3.152894,250.2594
250,2020-12-08 22:00:00,1.365077,68.80082,67.74498,5.618153,104.6,-1.96321,279.4217
251,2020-12-08 22:30:00,1.415455,69.25052,67.76522,3.088087,104.6,-1.597007,289.982
252,2020-12-08 23:00:00,1.219459,70.61182,67.77995,1.062195,104.6,-1.44882,290.5029
253,2020-12-08 23:30:00,1.327461,70.32626,67.78798,2.325607,104.6,-1.866892,278.4375
254,2020-12-09 00:00:00,0.8460719,73.63605,67.79217,1.646219,104.6,-1.188772,292.8766
255,2020-12-09 00:30:00,0.5555936,76.93,67.79186,2.011922,104.6,-1.354018,292.7744
256,2020-12-09 01:00:00,0.1711545,79.57894,67.78271,1.043431,104.6,-2.00178,280.655
257,2020-12-09 01:30:00,0.1391568,76.97211,67.78162,1.445674,104.6,-1.737232,271.3756
258,2020-12-09 02:00:00,-0.4601246,80.29518,67.78305,1.42909,104.6,-2.448211,263.4119
259,2020-12-09 02:30:00,-0.7505415,81.23643,67.78708,1.430965,104.6,-2.057456,262.0705
260,2020-12-09 03:00:00,-0.7611195,81.41543,67.77509,1.078536,104.7,-1.785183,261.1898
261,2020-12-09 03:30:00,-1.005306,82.8675,67.79227,1.222985,104.6,-1.427279,265.0079
262,2020-12-09 04:00:00,-0.7787039,81.50404,67.79284,1.162637,104.6,-1.61256,266.0822
263,2020-12-09 04:30:00,-0.7555513,80.55579,67.80228,1.921755,104.6,-1.256479,269.8016
264,2020-12-09 05:00:00,-0.6903698,79.50786,67.81217,1.560208,104.6,-1.358964,272.6926
265,2020-12-09 05:30:00,-0.8490471,78.8957,67.81906,2.638036,104.6,-1.379808,274.8735
266,2020-12-09 06:00:00,-0.7526855,76.31056,67.83903,2.304327,104.6,-2.041308,265.0877
267,2020-12-09 06:30:00,-1.575671,85.06329,67.87871,0.7426925,104.6,-2.244024,263.9139
268,2020-12-09 07:00:00,-1.511118,84.29607,67.8954,0.3320833,104.7,-1.1605,268.609
269,2020-12-09 07:30:00,-1.60812,85.83762,67.90771,0.4696299,104.6,5.246633,262.5989
270,2020-12-09 08:00:00,-1.595001,87.82465,67.92216,1.046919,104.6,26.48357,267.0802
271,2020-12-09 08:30:00,-1.498613,88.59698,67.94027,0.319839,104.7,53.01942,271.8534
272,2020-12-09 09:00:00,-1.094872,87.90199,67.9626,0.5785138,104.7,120.445,273.3134
273,2020-12-09 09:30:00,-0.6556484,85.65511,67.99284,0.6371775,104.7,113.5929,283.2367
