,When,h_ice,h_f,r_ice,ice,T_a,Discharge
12633,2019-03-15 17:40:00,0.23597270370991452,1.35,0.9356887957981384,198.39128048642004,4.2,0.0
12634,2019-03-15 17:45:00,0.2359516572663955,1.35,0.9356053415634641,198.33820156986536,4.2,0.0
12635,2019-03-15 17:50:00,0.23593341850484512,1.35,0.9355330204663048,198.292211256551,4.0,0.0
12636,2019-03-15 17:55:00,0.23591139280182857,1.35,0.9354456832310732,198.23668138295673,4.0,0.0
12637,2019-03-15 18:00:00,0.23589432225299817,1.35,0.9353779943796611,198.19365127684335,4.0,0.0
12638,2019-03-15 18:05:00,0.2358730122499202,1.35,0.9352934950676433,198.1399434247348,3.7,0.0
12639,2019-03-15 18:10:00,0.23585189263386258,1.35,0.9352097506861704,198.08672498124903,3.8,0.0
12640,2019-03-15 18:15:00,0.2358350762181665,1.35,0.93514306953405,198.04435680897262,3.8,0.0
12641,2019-03-15 18:20:00,0.235814084822818,1.35,0.9350598335786748,197.99147844874526,3.8,0.0
12642,2019-03-15 18:25:00,0.2357973123632484,1.35,0.9349933267232188,197.94923456139563,3.9,0.0
12643,2019-03-15 18:30:00,0.23577706145289481,1.35,0.9349130269697953,197.89823769591655,3.9,0.0
12644,2019-03-15 18:35:00,0.23576126763711194,1.35,0.9348504006734543,197.85847099097955,3.8,0.0
12645,2019-03-15 18:40:00,0.23574255844385753,1.35,0.9347762142009032,197.81137065101407,3.7,0.0
12646,2019-03-15 18:45:00,0.23572729673448672,1.35,0.9347156978350758,197.772954877929,3.6,0.0
12647,2019-03-15 18:50:00,0.23571732429090866,1.35,0.9346761546863301,197.7478555844871,3.4,0.0
12648,2019-03-15 18:55:00,0.23570393876492463,1.35,0.934623077841033,197.7141693619039,3.4,0.0
12649,2019-03-15 19:00:00,0.23569411117533318,1.35,0.93458410907335,197.68943953291634,3.5,0.0
12650,2019-03-15 19:05:00,0.23568704111476427,1.35,0.9345560745746307,197.67164993632005,3.5,0.0
12651,2019-03-15 19:10:00,0.23567615767151726,1.35,0.9345129190920438,197.64426724063526,3.2,0.0
12652,2019-03-15 19:15:00,0.23566881125810646,1.35,0.9344837887875225,197.62578512624052,3.1,0.0
12653,2019-03-15 19:20:00,0.23566416081781671,1.35,0.93446534866794,197.61408613934674,3.1,0.0
12654,2019-03-15 19:25:00,0.23565943693532893,1.35,0.9344466173322938,197.60220286860704,3.0,0.0
12655,2019-03-15 19:30:00,0.2356492965999383,1.35,0.9344064084519383,197.57669572468447,3.2,0.0
12656,2019-03-15 19:35:00,0.23564156468040295,1.35,0.9343757495224712,197.55724821927498,3.1,0.0
12657,2019-03-15 19:40:00,0.23563339417677084,1.35,0.9343433515010712,197.53669896368294,3.2,0.0
12658,2019-03-15 19:45:00,0.23562389702648096,1.35,0.9343056930050734,197.51281491135407,3.4,0.0
12659,2019-03-15 19:50:00,0.2356100063912874,1.35,0.934250613279695,197.47788530419487,3.4,0.0
12660,2019-03-15 19:55:00,0.23559799875081944,1.35,0.9342030000834515,197.44769402364648,3.3,0.0
12661,2019-03-15 20:00:00,0.23558549502356027,1.35,0.9341534197831957,197.41625868332733,3.4,0.0
12662,2019-03-15 20:05:00,0.2355715864947093,1.35,0.9340982691051415,197.38129548288921,3.4,0.0
12663,2019-03-15 20:10:00,0.23555776606445403,1.35,0.9340434677593092,197.34655783350854,3.4,0.0
12664,2019-03-15 20:15:00,0.23554591197893582,1.35,0.9339964634455499,197.31676583866837,3.3,0.0
12665,2019-03-15 20:20:00,0.23553523474616658,1.35,0.9339541256373406,197.28993410737658,3.3,0.0
12666,2019-03-15 20:25:00,0.23552630777596834,1.35,0.9339187280431969,197.26750262767862,3.3,0.0
12667,2019-03-15 20:30:00,0.2355137447561105,1.35,0.9338689126334586,197.23593744856737,3.2,0.0
12668,2019-03-15 20:35:00,0.23550600792998966,1.35,0.9338382342481941,197.21649998399118,3.3,0.0
12669,2019-03-15 20:40:00,0.2354988505981613,1.35,0.933809853697841,197.19851953780292,3.2,0.0
12670,2019-03-15 20:45:00,0.23549105288250402,1.35,0.9337789338708499,197.178931581455,3.2,0.0
12671,2019-03-15 20:50:00,0.23548501834435637,1.35,0.9337550054687771,197.16377363877663,3.1,0.0
12672,2019-03-15 20:55:00,0.23548178635216446,1.35,0.9337421898386871,197.15565563149678,3.0,0.0
