When,h_ice,h_f,r_ice,ice,T_a,Discharge
2021-03-06 04:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.6,0.0
2021-03-06 04:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.7,0.0
2021-03-06 05:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.8,0.0
2021-03-06 05:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-2.0,0.0
2021-03-06 05:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-2.15,0.0
2021-03-06 05:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-2.2,0.0
2021-03-06 06:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-2.2,0.0
2021-03-06 06:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-2.2,0.0
2021-03-06 06:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-2.2,0.0
2021-03-06 06:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-2.1,0.0
2021-03-06 07:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-2.05,0.0
2021-03-06 07:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.9,0.0
2021-03-06 07:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.85,0.0
2021-03-06 07:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.7,0.0
2021-03-06 08:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.6,0.0
2021-03-06 08:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.3,0.0
2021-03-06 08:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.0,0.0
2021-03-06 08:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.8,0.0
2021-03-06 09:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.65,0.0
2021-03-06 09:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.3,0.0
2021-03-06 09:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.05,0.0
2021-03-06 09:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.3,0.0
2021-03-06 10:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.65,0.0
2021-03-06 10:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.8,0.0
2021-03-06 10:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.05,0.0
2021-03-06 10:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.4,0.0
2021-03-06 11:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.8,0.0
2021-03-06 11:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.3,0.0
2021-03-06 11:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.9,0.0
2021-03-06 11:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,3.6,0.0
2021-03-06 12:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,4.3,0.0
2021-03-06 12:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,4.9,0.0
2021-03-06 12:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,5.65,0.0
2021-03-06 12:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,6.2,0.0
2021-03-06 13:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,6.3,0.0
2021-03-06 13:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,6.3,0.0
2021-03-06 13:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,5.35,0.0
2021-03-06 13:45:00,1.1563768397601697,2.5,6.004253166408468,40032.74130329538,3.9,0.0
2021-03-06 14:00:00,1.1563283211991568,2.5,6.004001243580567,40027.702505974354,3.05,0.0
2021-03-06 14:15:00,1.1563150283697314,2.5,6.003932223248765,40026.32207977019,2.8,0.0
2021-03-06 14:30:00,1.1563131260737027,2.5,6.003922345960877,40026.12453380807,2.65,0.0
2021-03-06 14:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,2.5,0.0
2021-03-06 15:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,2.2,0.0
2021-03-06 15:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,2.0,0.0
2021-03-06 15:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,1.75,0.0
2021-03-06 15:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,1.5,0.0
2021-03-06 16:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,1.25,0.0
2021-03-06 16:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,1.1,0.0
2021-03-06 16:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,0.95,0.0
2021-03-06 16:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,0.8,0.0
2021-03-06 17:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,0.6,0.0
2021-03-06 17:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,0.4,0.0
2021-03-06 17:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,0.15,0.0
2021-03-06 17:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,0.0,0.0
2021-03-06 18:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-0.15,0.0
2021-03-06 18:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-0.3,0.0
2021-03-06 18:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-0.45,0.0
2021-03-06 18:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-0.6,0.0
2021-03-06 19:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-0.7,0.0
2021-03-06 19:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-0.7,0.0
2021-03-06 19:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-0.8,0.0
2021-03-06 19:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-0.8,0.0
2021-03-06 20:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-0.85,0.0
2021-03-06 20:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.0,0.0
2021-03-06 20:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.1,0.0
2021-03-06 20:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.2,0.0
2021-03-06 21:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.25,0.0
2021-03-06 21:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.3,0.0
2021-03-06 21:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.35,0.0
2021-03-06 21:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.4,0.0
2021-03-06 22:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.55,0.0
2021-03-06 22:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.6,0.0
2021-03-06 22:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.8,0.0
2021-03-06 22:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.0,0.0
2021-03-06 23:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.05,0.0
2021-03-06 23:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-06 23:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-06 23:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-07 00:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-07 00:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-07 00:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-07 00:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.0,0.0
2021-03-07 01:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.9,0.0
2021-03-07 01:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.9,0.0
2021-03-07 01:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.95,0.0
2021-03-07 01:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-07 02:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-07 02:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.2,0.0
2021-03-07 02:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.15,0.0
2021-03-07 02:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.2,0.0
2021-03-07 03:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.2,0.0
2021-03-07 03:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.2,0.0
2021-03-07 03:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.05,0.0
2021-03-07 03:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.0,0.0
2021-03-07 04:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.95,0.0
2021-03-07 04:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-07 04:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-07 04:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.1,0.0
2021-03-07 05:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.15,0.0
2021-03-07 05:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.2,0.0
2021-03-07 05:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.2,0.0
2021-03-07 05:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.3,0.0
2021-03-07 06:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.3,0.0
2021-03-07 06:15:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-2.2,0.0
2021-03-07 06:30:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.9,0.0
2021-03-07 06:45:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.7,0.0
2021-03-07 07:00:00,1.156313075435978,2.5,6.00392208303472,40026.119275288365,-1.6,0.0
