,When,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in
167,2019-02-01 10:45:00,0.4,94.0,0.3,0.672,74.096,0.0,880.7,SW_directSW_diffuseLW_in,289.783
168,2019-02-01 11:00:00,0.3,93.7,0.1,0.895,78.34,0.0,880.5,SW_directSW_diffuseLW_in,289.004
169,2019-02-01 11:15:00,0.3,93.6,0.2,0.742,80.056,0.0,880.3,SW_directSW_diffuseLW_in,290.426
170,2019-02-01 11:30:00,0.3,93.6,0.1,0.59,81.773,0.0,879.8,SW_directSW_diffuseLW_in,291.847
171,2019-02-01 11:45:00,0.4,93.6,0.2,0.437,83.489,0.0,879.3,SW_directSW_diffuseLW_in,293.268
172,2019-02-01 12:00:00,0.4,93.5,0.3,0.285,85.205,0.0,879.0,SW_directSW_diffuseLW_in,294.69
173,2019-02-01 12:15:00,0.3,93.8,0.1,5.65,91.511,0.0,878.8,SW_directSW_diffuseLW_in,294.591
174,2019-02-01 12:30:00,0.4,93.7,0.3,11.014,97.816,0.0,878.5,SW_directSW_diffuseLW_in,294.492
175,2019-02-01 12:45:00,0.3,93.9,0.2,16.378,104.122,0.0,878.4,SW_directSW_diffuseLW_in,294.392
176,2019-02-01 13:00:00,0.4,94.0,0.1,21.743,110.428,0.001,878.2,SW_directSW_diffuseLW_in,294.293
177,2019-02-01 13:15:00,0.3,93.9,0.4,17.321,116.092,0.0,878.1,SW_directSW_diffuseLW_in,291.324
178,2019-02-01 13:30:00,0.3,94.0,0.3,12.9,121.756,0.0,877.9,SW_directSW_diffuseLW_in,288.355
179,2019-02-01 13:45:00,0.3,94.2,0.3,8.478,127.42,0.0,877.8,SW_directSW_diffuseLW_in,285.386
180,2019-02-01 14:00:00,0.2,94.1,0.1,4.056,133.084,0.0,877.5,SW_directSW_diffuseLW_in,282.417
181,2019-02-01 14:15:00,0.2,94.1,0.3,3.21,116.605,0.0,877.4,SW_directSW_diffuseLW_in,285.237
