When,T_a,RH,v_a,SW_global,Prec,p_a,missing_type,cld
2021-01-31 03:00:00,-12.941,37.924,3.662,0.0,0,621.104,-,0
2021-01-31 04:00:00,-13.638,41.3,3.231,0.0,0,620.95,-,0
2021-01-31 05:00:00,-14.047,43.355,2.912,0.0,0,621.044,-,0
2021-01-31 06:00:00,-14.178,44.21,2.635,0.0,0,621.298,-,0
2021-01-31 07:00:00,-14.533,45.003,1.528,5.36,0,621.75,-,0
2021-01-31 08:00:00,-13.85,43.382,1.142,152.075,0,622.2,-,0
2021-01-31 09:00:00,-13.498,45.679,1.429,339.325,0,622.347,-,0
2021-01-31 10:00:00,-10.746,39.784,1.556,523.6,0,622.544,-,0
2021-01-31 11:00:00,-9.251,37.306,1.956,601.425,0,622.57,-,0
2021-01-31 12:00:00,-8.038,35.127,2.318,715.25,0,622.245,-,0
2021-01-31 13:00:00,-6.84,33.568,2.41,737.2,0,621.739,-,0
2021-01-31 14:00:00,-5.789,31.473,2.814,651.1,0,621.342,-,0
2021-01-31 15:00:00,-5.074,29.888,2.338,500.45,0,621.094,-,0
2021-01-31 16:00:00,-5.034,28.713,2.043,309.0,0,620.915,-,0
2021-01-31 17:00:00,-6.331,29.985,1.289,55.552,0,620.984,-,0
2021-01-31 18:00:00,-7.152,34.193,0.146,0.0,0,621.225,-,0
2021-01-31 19:00:00,-7.987,36.209,1.182,0.0,0,621.594,-,0
2021-01-31 20:00:00,-8.086,33.955,2.402,0.0,0,621.996,-,0
2021-01-31 21:00:00,-8.055,34.358,2.742,0.0,0,622.318,-,0
2021-01-31 22:00:00,-8.708,37.258,1.794,0.0,0,622.526,-,0
2021-01-31 23:00:00,-8.904,36.011,2.421,0.0,0,622.589,-,0
2021-02-01 00:00:00,-10.025,38.171,2.236,0.0,0,622.485,-,0
2021-02-01 01:00:00,-9.857,37.36,3.073,0.0,0,622.203,-,0
2021-02-01 02:00:00,-9.743,41.447,1.323,0.0,0,622.005,-,0
2021-02-01 03:00:00,-9.822,44.378,1.365,0.0,0,621.967,-,0
2021-02-01 04:00:00,-9.652,46.694,0.988,0.0,0,621.75,-,0
2021-02-01 05:00:00,-10.515,48.676,1.427,0.0,0,621.964,-,0
2021-02-01 06:00:00,-10.495,52.05,0.426,0.0,0,622.32,-,0
2021-02-01 07:00:00,-11.154,54.613,0.923,4.179,0,622.796,-,0
2021-02-01 08:00:00,-10.843,49.123,0.842,143.115,0,623.208,-,0
