,time,man,auto,man_field,auto_field
370,2020-12-08 01:00:00,7.5,0.0,0,0
371,2020-12-08 02:00:00,7.5,0.0,0,0
372,2020-12-08 03:00:00,7.5,0.0,0,0
373,2020-12-08 04:00:00,7.5,0.0,0,0
374,2020-12-08 05:00:00,7.5,0.0,0,0
375,2020-12-08 06:00:00,7.5,0.0,0,0
376,2020-12-08 07:00:00,7.5,0.0,0,0
377,2020-12-08 08:00:00,7.5,0.0,0,0
378,2020-12-08 09:00:00,7.5,0.0,0,0
379,2020-12-08 10:00:00,7.5,0.0,0,0
380,2020-12-08 11:00:00,7.5,0.0,0,0
381,2020-12-08 12:00:00,7.5,0.0,0,0
382,2020-12-08 13:00:00,7.5,0.0,0,0
383,2020-12-08 14:00:00,7.5,0.0,0,0
384,2020-12-08 15:00:00,7.5,0.0,0,0
385,2020-12-08 16:00:00,7.5,0.0,0,0
386,2020-12-08 17:00:00,7.5,0.0,0,0
387,2020-12-08 18:00:00,7.5,0.0,0,0
388,2020-12-08 19:00:00,7.5,0.0,0,0
389,2020-12-08 20:00:00,7.5,0.0,0,0
390,2020-12-08 21:00:00,7.5,0.0,0,0
391,2020-12-08 22:00:00,7.5,0.0,0,0
392,2020-12-08 23:00:00,7.5,0.0,0,0
393,2020-12-09 00:00:00,7.5,0.0,0,0
394,2020-12-09 01:00:00,7.5,0.0,0,0
395,2020-12-09 02:00:00,7.5,0.0,0,0
396,2020-12-09 03:00:00,7.5,0.0,0,0
397,2020-12-09 04:00:00,7.5,0.0,0,0
398,2020-12-09 05:00:00,7.5,0.0,0,0
399,2020-12-09 06:00:00,7.5,0.0,0,0
400,2020-12-09 07:00:00,7.5,0.0,0,0
401,2020-12-09 08:00:00,7.5,0.0,0,0
402,2020-12-09 09:00:00,7.5,0.0,0,0
403,2020-12-09 10:00:00,7.5,0.0,0,0
404,2020-12-09 11:00:00,7.5,0.0,0,0
405,2020-12-09 12:00:00,7.5,0.0,0,0
406,2020-12-09 13:00:00,7.5,0.0,0,0
407,2020-12-09 14:00:00,7.5,0.0,0,0
408,2020-12-09 15:00:00,7.5,0.0,0,0
409,2020-12-09 16:00:00,7.5,0.0,0,0
410,2020-12-09 17:00:00,7.5,0.0,0,0
411,2020-12-09 18:00:00,7.5,0.0,0,0
412,2020-12-09 19:00:00,7.5,0.0,0,0
413,2020-12-09 20:00:00,7.5,0.0,0,0
414,2020-12-09 21:00:00,7.5,0.0,0,0
415,2020-12-09 22:00:00,7.5,0.0,0,0
416,2020-12-09 23:00:00,7.5,0.0,0,0
417,2020-12-10 00:00:00,7.5,0.0,0,0
418,2020-12-10 01:00:00,7.5,0.0,0,0
419,2020-12-10 02:00:00,7.5,0.0,0,0
420,2020-12-10 03:00:00,7.5,0.0,0,0
421,2020-12-10 04:00:00,7.5,0.0,0,0
422,2020-12-10 05:00:00,7.5,0.0,0,0
423,2020-12-10 06:00:00,7.5,0.0,0,0
424,2020-12-10 07:00:00,7.5,0.0,0,0
425,2020-12-10 08:00:00,7.5,0.0,0,0
426,2020-12-10 09:00:00,7.5,0.0,0,0
427,2020-12-10 10:00:00,7.5,0.0,0,0
428,2020-12-10 11:00:00,7.5,0.0,0,0
429,2020-12-10 12:00:00,7.5,0.0,0,0
430,2020-12-10 13:00:00,7.5,0.0,0,0
431,2020-12-10 14:00:00,7.5,0.0,0,0
432,2020-12-10 15:00:00,7.5,0.0,0,0
433,2020-12-10 16:00:00,7.5,0.0,0,0
434,2020-12-10 17:00:00,7.5,0.0,0,0
435,2020-12-10 18:00:00,7.5,0.0,0,0
436,2020-12-10 19:00:00,7.5,0.019830754559360217,0,0
437,2020-12-10 20:00:00,7.5,0.0,0,0
438,2020-12-10 21:00:00,7.5,0.0,0,0
439,2020-12-10 22:00:00,7.5,0.0,0,0
440,2020-12-10 23:00:00,7.5,0.0,0,0
441,2020-12-11 00:00:00,7.5,0.0,0,0
442,2020-12-11 01:00:00,7.5,0.0,0,0
443,2020-12-11 02:00:00,7.5,0.0,0,0
444,2020-12-11 03:00:00,7.5,0.0,0,0
445,2020-12-11 04:00:00,7.5,0.0,0,0
446,2020-12-11 05:00:00,7.5,0.0,0,0
447,2020-12-11 06:00:00,7.5,0.0,0,0
448,2020-12-11 07:00:00,7.5,0.0,0,0
449,2020-12-11 08:00:00,7.5,0.0,0,0
450,2020-12-11 09:00:00,7.5,0.0,0,0
451,2020-12-11 10:00:00,7.5,0.0,0,0
452,2020-12-11 11:00:00,7.5,0.0,0,0
453,2020-12-11 12:00:00,7.5,0.0,0,0
454,2020-12-11 13:00:00,7.5,0.0,0,0
455,2020-12-11 14:00:00,7.5,0.0,0,0
456,2020-12-11 15:00:00,7.5,0.0,0,0
457,2020-12-11 16:00:00,7.5,0.0,0,0
458,2020-12-11 17:00:00,7.5,0.0,0,0
459,2020-12-11 18:00:00,7.5,0.0,0,0
460,2020-12-11 19:00:00,7.5,0.0,0,0
461,2020-12-11 20:00:00,7.5,0.0,0,0
462,2020-12-11 21:00:00,7.5,0.0,0,0
463,2020-12-11 22:00:00,7.5,0.21194635073717402,0,0
464,2020-12-11 23:00:00,7.5,0.16081262471962882,0,0
465,2020-12-12 00:00:00,7.5,0.0,0,0
466,2020-12-12 01:00:00,7.5,0.0,0,0
467,2020-12-12 02:00:00,7.5,0.0,0,0
468,2020-12-12 03:00:00,7.5,0.0,0,0
469,2020-12-12 04:00:00,7.5,0.0,0,0
470,2020-12-12 05:00:00,7.5,0.0,0,0
471,2020-12-12 06:00:00,7.5,0.0,0,0
472,2020-12-12 07:00:00,7.5,0.0,0,0
473,2020-12-12 08:00:00,7.5,0.0,0,0
474,2020-12-12 09:00:00,7.5,0.0,0,0
475,2020-12-12 10:00:00,7.5,0.0,0,0
476,2020-12-12 11:00:00,7.5,0.0,0,0
477,2020-12-12 12:00:00,7.5,0.0,0,0
478,2020-12-12 13:00:00,7.5,0.0,0,0
479,2020-12-12 14:00:00,7.5,0.0,0,0
480,2020-12-12 15:00:00,7.5,0.0,0,0
481,2020-12-12 16:00:00,7.5,0.0,0,0
482,2020-12-12 17:00:00,7.5,0.0,0,0
483,2020-12-12 18:00:00,7.5,0.0,0,0
484,2020-12-12 19:00:00,7.5,0.0,0,0
485,2020-12-12 20:00:00,7.5,0.0,0,0
486,2020-12-12 21:00:00,7.5,0.0,0,0
487,2020-12-12 22:00:00,7.5,0.0,0,0
488,2020-12-12 23:00:00,7.5,0.0,0,0
489,2020-12-13 00:00:00,7.5,0.0,0,0
490,2020-12-13 01:00:00,7.5,0.0,0,0
491,2020-12-13 02:00:00,7.5,0.0,0,0
492,2020-12-13 03:00:00,7.5,0.0,0,0
493,2020-12-13 04:00:00,7.5,0.0,0,0
494,2020-12-13 05:00:00,7.5,0.0,0,0
495,2020-12-13 06:00:00,7.5,0.0,0,0
496,2020-12-13 07:00:00,7.5,0.0,0,0
497,2020-12-13 08:00:00,7.5,0.0,0,0
498,2020-12-13 09:00:00,7.5,0.0,0,0
499,2020-12-13 10:00:00,7.5,0.0,0,0
500,2020-12-13 11:00:00,7.5,0.0,0,0
501,2020-12-13 12:00:00,7.5,0.0,0,0
502,2020-12-13 13:00:00,7.5,0.0,0,0
503,2020-12-13 14:00:00,7.5,0.0,0,0
504,2020-12-13 15:00:00,7.5,0.0,0,0
505,2020-12-13 16:00:00,7.5,0.0,0,0
506,2020-12-13 17:00:00,7.5,0.0,0,0
507,2020-12-13 18:00:00,7.5,0.0,0,0
508,2020-12-13 19:00:00,7.5,0.0,0,0
509,2020-12-13 20:00:00,7.5,0.0,0,0
510,2020-12-13 21:00:00,7.5,0.0,0,0
511,2020-12-13 22:00:00,7.5,0.0,0,0
512,2020-12-13 23:00:00,7.5,0.0,0,0
513,2020-12-14 00:00:00,7.5,0.0,0,0
